Month,Oil_Production (bbl),Total_Gas_Production (mcf)
0,"20,566","14,895"
1,"18,643","13,563"
2,"15,554","11,418"
3,"13,281","9,836"
4,"11,542","8,626"
5,"10,175","7,673"
6,"9,073","6,904"
7,"8,170","6,273"
8,"7,418","5,746"
9,"6,780","5,300"
10,"6,234","4,917"
11,"5,765","4,587"
12,"5,355","4,299"
13,"4,994","4,045"
14,"4,675","3,821"
15,"4,390","3,621"
16,"4,135","3,443"
17,"3,906","3,281"
18,"3,699","3,135"
19,"3,510","3,002"
20,"3,340","2,881"
21,"3,182","2,770"
22,"3,038","2,668"
23,"2,904","2,574"
24,"2,781","2,488"
25,"2,668","2,408"
26,"2,563","2,333"
27,"2,464","2,264"
28,"2,372","2,199"
29,"2,287","2,139"
30,"2,207","2,082"
31,"2,131","2,029"
32,"2,060","1,980"
33,"1,993","1,932"
34,"1,930","1,888"
35,"1,871","1,847"
36,"1,814","1,807"
37,"1,761","1,770"
38,"1,711","1,734"
39,"1,663","1,701"
40,"1,617","1,669"
41,"1,573","1,639"
42,"1,533","1,610"
43,"1,493","1,583"
44,"1,455","1,557"
45,"1,419","1,533"
46,"1,385","1,509"
47,"1,352","1,486"
48,"1,320","1,464"
49,"1,290","1,439"
50,"1,261","1,409"
51,"1,233","1,381"
52,"1,205","1,353"
53,"1,181","1,327"
54,"1,155","1,302"
55,"1,132","1,278"
56,"1,109","1,254"
57,"1,087","1,232"
58,"1,065","1,210"
59,"1,045","1,189"
60,"1,025","1,169"
